Player,Spotrac_ID,Team,Salary
Kyrie Irving,http://www.spotrac.com/redirect/player/8051/,CLE,17638063
Tristan Thompson,http://www.spotrac.com/redirect/player/8054/,CLE,15330435
J.R. Smith,http://www.spotrac.com/redirect/player/2296/,CLE,12800000
Iman Shumpert,http://www.spotrac.com/redirect/player/8068/,CLE,9662921
Channing Frye,http://www.spotrac.com/redirect/player/2674/,CLE,7806971
Kyle Korver,http://www.spotrac.com/redirect/player/2752/,CLE,5239437
Richard Jefferson,http://www.spotrac.com/redirect/player/2594/,CLE,2500000
James Jones,http://www.spotrac.com/redirect/player/2676/,CLE,980431
Kay Felder,http://www.spotrac.com/redirect/player/20260/,CLE,543471
Deron Williams,http://www.spotrac.com/redirect/player/2757/,CLE,259526
Derrick Williams,http://www.spotrac.com/redirect/player/8052/,CLE,230690
Dahntay Jones,http://www.spotrac.com/redirect/player/6104/,CLE,5767
Walter Tavares,http://www.spotrac.com/redirect/player/15395/,CLE,5145
Mike Conley,http://www.spotrac.com/redirect/player/2532/,MEM,26540100
Chandler Parsons,http://www.spotrac.com/redirect/player/8090/,MEM,22116750
Marc Gasol,http://www.spotrac.com/redirect/player/6122/,MEM,21165675
Zach Randolph,http://www.spotrac.com/redirect/player/2626/,MEM,10361445
Brandan Wright,http://www.spotrac.com/redirect/player/2325/,MEM,5709880
Tony Allen,http://www.spotrac.com/redirect/player/2210/,MEM,5505618
Vince Carter,http://www.spotrac.com/redirect/player/2590/,MEM,4264057
Troy Daniels,http://www.spotrac.com/redirect/player/13383/,MEM,3332940
James Ennis,http://www.spotrac.com/redirect/player/13363/,MEM,2898000
Wade Baldwin,http://www.spotrac.com/redirect/player/20222/,MEM,1793760
Deyonta Davis,http://www.spotrac.com/redirect/player/20237/,MEM,1369229
Jarell Martin,http://www.spotrac.com/redirect/player/17853/,MEM,1286160
JaMychal Green,http://www.spotrac.com/redirect/player/11666/,MEM,980431
Andrew Harrison,http://www.spotrac.com/redirect/player/17872/,MEM,945000
Wayne Selden,http://www.spotrac.com/redirect/player/20921/,MEM,83119
James Harden,http://www.spotrac.com/redirect/player/6312/,HOU,26540100
Ryan Anderson,http://www.spotrac.com/redirect/player/6133/,HOU,18735363
Eric Gordon,http://www.spotrac.com/redirect/player/6116/,HOU,12385364
Trevor Ariza,http://www.spotrac.com/redirect/player/2513/,HOU,7806971
Louis Williams,http://www.spotrac.com/redirect/player/2657/,HOU,7000000
Patrick Beverley,http://www.spotrac.com/redirect/player/6297/,HOU,6000000
Nene Hilario,http://www.spotrac.com/redirect/player/6103/,HOU,2898000
Sam Dekker,http://www.spotrac.com/redirect/player/17846/,HOU,1720560
Clint Capela,http://www.spotrac.com/redirect/player/15377/,HOU,1296240
Montrezl Harrell,http://www.spotrac.com/redirect/player/17860/,HOU,1045000
Bobby Brown,http://www.spotrac.com/redirect/player/6131/,HOU,680534
Chinanu Onuaku,http://www.spotrac.com/redirect/player/20243/,HOU,543471
Kyle Wiltjer,http://www.spotrac.com/redirect/player/20274/,HOU,543471
Isaiah Taylor,http://www.spotrac.com/redirect/player/20273/,HOU,255000
Troy Williams,http://www.spotrac.com/redirect/player/20919/,HOU,76725
DeMar DeRozan,http://www.spotrac.com/redirect/player/6327/,TOR,26540100
Jonas Valanciunas,http://www.spotrac.com/redirect/player/8055/,TOR,14382022
DeMarre Carroll,http://www.spotrac.com/redirect/player/6294/,TOR,14200000
Serge Ibaka,http://www.spotrac.com/redirect/player/6313/,TOR,12250000
Kyle Lowry,http://www.spotrac.com/redirect/player/2536/,TOR,12000000
Cory Joseph,http://www.spotrac.com/redirect/player/8080/,TOR,7315000
Patrick Patterson,http://www.spotrac.com/redirect/player/6896/,TOR,6050000
P.J. Tucker,http://www.spotrac.com/redirect/player/11059/,TOR,5300000
Jakob Poeltl,http://www.spotrac.com/redirect/player/20214/,TOR,2703960
Lucas Nogueira,http://www.spotrac.com/redirect/player/13329/,TOR,1921320
Bruno Caboclo,http://www.spotrac.com/redirect/player/15372/,TOR,1589640
Delon Wright,http://www.spotrac.com/redirect/player/17848/,TOR,1577280
Pascal Siakam,http://www.spotrac.com/redirect/player/20232/,TOR,1196040
Norman Powell,http://www.spotrac.com/redirect/player/17874/,TOR,874636
Fred VanVleet,http://www.spotrac.com/redirect/player/20778/,TOR,543471
Chris Paul,http://www.spotrac.com/redirect/player/2609/,LAC,23199328
DeAndre Jordan,http://www.spotrac.com/redirect/player/6117/,LAC,21165675
Blake Griffin,http://www.spotrac.com/redirect/player/6501/,LAC,20140838
Jamal Crawford,http://www.spotrac.com/redirect/player/2618/,LAC,13253012
Austin Rivers,http://www.spotrac.com/redirect/player/10818/,LAC,11000000
J.J. Redick,http://www.spotrac.com/redirect/player/2643/,LAC,7377500
Wesley Johnson,http://www.spotrac.com/redirect/player/6885/,LAC,5628000
Paul Pierce,http://www.spotrac.com/redirect/player/2217/,LAC,3527920
Luc Richard Mbah a Moute,http://www.spotrac.com/redirect/player/6130/,LAC,2203000
Marreese Speights,http://www.spotrac.com/redirect/player/6145/,LAC,1403611
Brice Johnson,http://www.spotrac.com/redirect/player/20230/,LAC,1273920
Brandon Bass,http://www.spotrac.com/redirect/player/2270/,LAC,980431
Raymond Felton,http://www.spotrac.com/redirect/player/2229/,LAC,980431
Alan Anderson,http://www.spotrac.com/redirect/player/9261/,LAC,980431
Diamond Stone,http://www.spotrac.com/redirect/player/20246/,LAC,543471
Eric Bledsoe,http://www.spotrac.com/redirect/player/6900/,PHX,14000000
Brandon Knight,http://www.spotrac.com/redirect/player/8058/,PHX,12606250
